序號,路期,號碼,備註,路考日期,路考項目,
23697,0141AAA103,2,0140A058補,9/12/18 0:00,2,
23934,0141AAA103,3,0141A072,9/12/18 0:00,2,
23933,0141AAA103,4,0141A085,9/12/18 0:00,2,
23875,0141AAA103,5,0141A068,9/12/18 0:00,2,
23905,0141AAA103,6,0140B149補,9/12/18 0:00,2,
23922,0141AAA103,7,0141A016,9/12/18 0:00,2,
23994,0141AAA103,8,0141A023,9/12/18 0:00,2,
23909,0141AAA103,9,0141A024,9/12/18 0:00,2,
23855,0141AAA103,10,0141A063,9/12/18 0:00,2,
23989,0141AAA103,11,0141A095,9/12/18 0:00,2,
23997,0141AAA103,12,0141A096,9/12/18 0:00,2,
23815,0141AAA103,13,0141A100,9/12/18 0:00,2,
24007,0141AAA103,14,0141A101,9/12/18 0:00,2,
23912,0141AAA103,15,0141A098,9/12/18 0:00,2,
23829,0141AAA104,1,0140B055補,9/12/18 0:00,2,
23968,0141AAA104,2,0141A060,9/12/18 0:00,2,
23993,0141AAA104,3,0141A061,9/12/18 0:00,2,
23925,0141AAA104,4,0141A042,9/12/18 0:00,2,
23878,0141AAA104,5,0141A050,9/12/18 0:00,2,
23873,0141AAA104,6,0141A041,9/12/18 0:00,2,
23913,0141AAA104,7,0141A058,9/12/18 0:00,2,
23986,0141AAA104,8,0141A040,9/12/18 0:00,2,
23766,0141AAA104,9,0141A059,9/12/18 0:00,2,
24002,0141AAA104,10,0141A064,9/12/18 0:00,2,
23928,0141AAA104,11,0141A039,9/12/18 0:00,2,
23911,0141AAA104,12,0141A066,9/12/18 0:00,2,
23992,0141AAA104,13,0141A097,9/12/18 0:00,2,
23958,0141AAA104,14,0141A102,9/12/18 0:00,2,
23972,0141AAA104,15,0141A103,9/12/18 0:00,2,
23802,0141AAA105,1,0140B140補,9/12/18 0:00,1,
23695,0141AAA105,2,0140A063補,9/12/18 0:00,2,
23830,0141AAA105,3,0140B026補,9/12/18 0:00,2,
